38.00	323.00	202.00	308.00	216.00	517.00	54.00	540.00
38.02	322.99	202.02	307.99	216.02	516.99	54.04	539.99
38.03	323.00	202.03	307.99	216.03	517.00	54.03	539.99
38.03	322.99	202.02	308.00	216.03	517.00	54.04	539.99
38.03	323.00	202.03	307.99	216.03	517.00	54.05	540.00
38.02	322.99	202.02	308.01	216.03	516.99	54.03	540.01
38.03	323.00	202.03	307.98	216.02	516.99	54.03	539.99
38.03	323.00	202.03	307.99	216.03	517.00	54.03	539.99
38.03	322.99	202.03	308.00	216.02	517.00	54.04	539.99
38.03	323.00	202.02	308.00	216.03	517.00	54.03	540.00
38.02	322.99	202.02	308.00	216.02	516.99	54.03	540.00
38.02	322.99	202.03	308.00	216.02	517.00	54.03	539.99
38.03	323.01	202.02	308.00	216.04	517.00	54.03	540.00
38.02	323.00	202.02	307.99	216.03	517.00	54.04	539.99
38.03	323.00	202.02	308.00	216.02	517.00	54.03	539.99
38.04	323.00	202.02	307.99	216.02	516.99	54.04	540.00
38.03	323.00	202.03	307.99	216.03	517.00	54.03	539.99
38.02	322.99	202.03	308.00	216.03	516.99	54.02	540.00
38.03	323.00	202.03	307.99	216.03	517.00	54.03	539.99
38.02	322.99	202.02	308.00	216.03	516.99	54.02	540.00
38.03	322.99	202.02	308.00	216.03	517.00	54.03	540.01
38.03	323.00	202.02	308.00	216.01	516.99	54.02	539.99
38.02	322.98	202.03	308.00	216.02	516.99	54.03	540.00
38.02	322.99	202.03	308.00	216.02	517.00	54.03	539.99
38.02	323.00	202.02	308.00	216.03	517.00	54.04	539.99
38.02	323.00	202.03	307.99	216.02	516.99	54.04	539.99
38.02	322.99	202.02	308.00	216.02	517.00	54.03	540.00
38.02	322.99	202.03	308.00	216.02	516.99	54.03	540.00
38.02	322.99	202.03	308.00	216.02	516.98	54.03	540.01
38.02	323.00	202.02	308.00	216.03	517.00	54.03	540.00
38.03	323.00	202.03	308.00	216.02	517.00	54.03	540.00
38.03	323.00	202.03	308.00	216.03	516.99	54.03	540.00
38.03	323.01	202.02	308.00	216.03	516.99	54.03	540.00
